Mode,Operation,OpCode,No.Bytes,No.Cycles,BoundaryCross
Implied       ,   CLV                 ,    B8   ,    1    ,    2,0
Immediate     ,   CMP #Oper           ,    C9   ,    2    ,    2,0
Zero Page     ,   CMP Oper            ,    C5   ,    2    ,    3,0
Zero Page X   ,   CMP Oper X          ,    D5   ,    2    ,    4,0
Absolute      ,   CMP Oper            ,    CD   ,    3    ,    4,0
Absolute X    ,   CMP Oper X          ,    DD   ,    3    ,    4,1 
Absolute Y    ,   CMP Oper Y          ,    D9   ,    3    ,    4,1 
Indirect X    ,   CMP (Oper X)        ,    C1   ,    2    ,    6,0
Indirect Y    ,   CMP (Oper Y)        ,    D1   ,    2    ,    5,1 
Immediate     ,   CPX ,1Op            ,    E0   ,    2    ,    2,0
Zero Page     ,   CPX Oper            ,    E4   ,    2    ,    3,0
Absolute      ,   CPX Oper            ,    EC   ,    3    ,    4,0
Immediate     ,   CPY ,1Oper          ,    C0   ,    2    ,    2,0
Zero Page     ,   CPY Oper            ,    C4   ,    2    ,    3,0
Absolute      ,   CPY Oper            ,    CC   ,    3    ,    4,0
Zero Page     ,   DEC Oper            ,    C6   ,    2    ,    5,0
Zero Page X   ,   DEC Oper X          ,    D6   ,    2    ,    6,0
Absolute      ,   DEC Oper            ,    CE   ,    3    ,    6,0
Absolute X    ,   DEC Oper X          ,    DE   ,    3    ,    7,0
Implied       ,   DEX                 ,    CA   ,    1    ,    2,0
Implied       ,   DEY                 ,    88   ,    1    ,    2,0
Immediate     ,   EOR #Oper           ,    49   ,    2    ,    2,0
Zero Page     ,   EOR Oper            ,    45   ,    2    ,    3,0
Zero Page X   ,   EOR Oper X          ,    55   ,    2    ,    4,0
Absolute      ,   EOR Oper            ,    40   ,    3    ,    4,0
Absolute X    ,   EOR Oper X          ,    50   ,    3    ,    4,1 
Absolute Y    ,   EOR Oper Y          ,    59   ,    3    ,    4,1 
Indirect X    ,   EOR (Oper X)        ,    41   ,    2    ,    6,0
Indirect Y    ,   EOR (Oper Y)        ,    51   ,    2    ,    5,1 
Zero Page     ,   INC Oper            ,    E6   ,    2    ,    5,0
Zero Page X   ,   INC Oper X          ,    F6   ,    2    ,    6,0
Absolute      ,   INC Oper            ,    EE   ,    3    ,    6,0
Absolute X    ,   INC Oper X          ,    FE   ,    3    ,    7 ,0
Implied       ,   INX                 ,    E8   ,    1    ,    2,0
Implied       ,   INY                 ,    C8   ,    1    ,    2,0
Absolute      ,   JMP Oper            ,    4C   ,    3    ,    3,0
Indirect      ,   JMP (Oper)          ,    6C   ,    3    ,    5,0
Absolute      ,   JSR Oper            ,    20   ,    3    ,    6,0
Immediate     ,   LDA #Oper           ,    A9   ,    2    ,    2,0
Zero Page     ,   LDA Oper            ,    A5   ,    2    ,    3,0
Zero Page X   ,   LDA Oper X          ,    B5   ,    2    ,    4,0
Absolute      ,   LDA Oper            ,    AD   ,    3    ,    4,0
Absolute X    ,   LDA Oper X          ,    BD   ,    3    ,    4,1 
Absolute Y    ,   LDA Oper Y          ,    B9   ,    3    ,    4,1 
Indirect X    ,   LDA (Oper X)        ,    A1   ,    2    ,    6,0
Indirect Y    ,   LDA (Oper Y)        ,    B1   ,    2    ,    5,1 
Immediate     ,   LDX #Oper           ,    A2   ,    2    ,    2,0
Zero Page     ,   LDX Oper            ,    A6   ,    2    ,    3,0
Zero Page Y   ,   LDX Oper Y          ,    B6   ,    2    ,    4,0
Absolute      ,   LDX Oper            ,    AE   ,    3    ,    4,0
Absolute Y    ,   LDX Oper Y          ,    BE   ,    3    ,    4,1 
Immediate     ,   LDY #Oper           ,    A0   ,    2    ,    2,0
Zero Page     ,   LDY Oper            ,    A4   ,    2    ,    3,0
Zero Page X   ,   LDY Oper X          ,    B4   ,    2    ,    4,0
Absolute      ,   LDY Oper            ,    AC   ,    3    ,    4,0
Absolute X    ,   LDY Oper X          ,    BC   ,    3    ,    4,1 
Accumulator   ,   LSR A               ,    4A   ,    1    ,    2,0
Zero Page     ,   LSR Oper            ,    46   ,    2    ,    5,0
Zero Page X   ,   LSR Oper X          ,    56   ,    2    ,    6,0
Implied       ,   NOP                 ,    EA   ,    1    ,    2,0
Immediate     ,   ORA #Oper           ,    09   ,    2    ,    2,0
Zero Page     ,   ORA Oper            ,    05   ,    2    ,    3,0
Zero Page X   ,   ORA Oper X          ,    15   ,    2    ,    4,0
Absolute      ,   ORA Oper            ,    0D   ,    3    ,    4,0
Absolute X    ,   ORA Oper X          ,    1D   ,    3    ,    4,1 
Absolute Y    ,   ORA Oper Y          ,    19   ,    3    ,    4,1 
Indirect X    ,   ORA (Oper X)        ,    01   ,    2    ,    6,0
Indirect Y    ,   ORA (Oper Y)        ,    11   ,    2    ,    5,0
Implied       ,   PHA                 ,    48   ,    1    ,    3,0
Implied       ,   PHP                 ,    08   ,    1    ,    3,0
Implied       ,   PLA                 ,    68   ,    1    ,    4,0
Implied       ,   PLP                 ,    28   ,    1    ,    4,0
Accumulator   ,   ROL A               ,    2A   ,    1    ,    2,0
Zero Page     ,   ROL Oper            ,    26   ,    2    ,    5,0
Zero Page X   ,   ROL Oper X          ,    36   ,    2    ,    6,0
Absolute      ,   ROL Oper            ,    2E   ,    3    ,    6,0
Absolute X    ,   ROL Oper X          ,    3E   ,    3    ,    7,0
Accumulator   ,   ROR A               ,    6A   ,    1    ,    2,0
Zero Page     ,   ROR Oper            ,    66   ,    2    ,    5,0
Zero Page X   ,   ROR Oper X          ,    76   ,    2    ,    6,0
Absolute      ,   ROR Oper            ,    6E   ,    3    ,    6,0
Absolute X    ,   ROR Oper X          ,    7E   ,    3    ,    7,0
Implied       ,   RTI                 ,    4D   ,    1    ,    6,0
Implied       ,   RTS                 ,    60   ,    1    ,    6,0
Immediate     ,   SBC #Oper           ,    E9   ,    2    ,    2,0
Zero Page     ,   SBC Oper            ,    E5   ,    2    ,    3,0
Zero Page X   ,   SBC Oper X          ,    F5   ,    2    ,    4,0
Absolute      ,   SBC Oper            ,    ED   ,    3    ,    4,0
Absolute X    ,   SBC Oper X          ,    FD   ,    3    ,    4,1 
Absolute Y    ,   SBC Oper Y          ,    F9   ,    3    ,    4,1 
Indirect X    ,   SBC (Oper X)        ,    E1   ,    2    ,    6,0
Indirect Y    ,   SBC (Oper Y)        ,    F1   ,    2    ,    5,0
Implied       ,   SEC                 ,    38   ,    1    ,    2,0
Implied       ,   SED                 ,    F8   ,    1    ,    2,0
Implied       ,   SEI                 ,    78   ,    1    ,    2,0
Zero Page     ,   STA Oper            ,    85   ,    2    ,    3,0
Zero Page X   ,   STA Oper X          ,    95   ,    2    ,    4,0
Absolute      ,   STA Oper            ,    80   ,    3    ,    4,0
Absolute X    ,   STA Oper X          ,    90   ,    3    ,    5,0
Absolute Y    ,   STA Oper  Y         ,    99   ,    3    ,    5,0
Indirect X    ,   STA (Oper X)        ,    81   ,    2    ,    6,0
Indirect Y    ,   STA (Oper Y)        ,    91   ,    2    ,    6,0
Zero Page     ,   STX Oper            ,    86   ,    2    ,    3,0
Zero Page Y   ,   STX Oper Y          ,    96   ,    2    ,    4,0
Absolute      ,   STX Oper            ,    8E   ,    3    ,    4,0
Zero Page     ,   STY Oper            ,    84   ,    2    ,    3,0
Zero Page X   ,   STY Oper X          ,    94   ,    2    ,    4,0
Absolute      ,   STY Oper            ,    8C   ,    3    ,    4,0
Implied       ,   TAX                 ,    AA   ,    1    ,    2,0
Implied       ,   TAY                 ,    A8   ,    1    ,    2,0
Implied       ,   TSX                 ,    BA   ,    1    ,    2,0
Implied       ,   TXA                 ,    8A   ,    1    ,    2,0
Implied       ,   TXS                 ,    9A   ,    1    ,    2,0
Implied       ,   TYA                 ,    98   ,    1    ,    2,0  
