zeropage,ROR,oper,66,2,5,0
"zeropage,X",ROR,"oper,X",76,2,6,0
absolute,ROR,oper,6E,3,6,0
"absolute,X",ROR,"oper,X",7E,3,7,0
implied,RTI,,40,1,6,0
implied,RTS,,60,1,6,0
immidiate,SBC,#oper,E9,2,2,0
zeropage,SBC,oper,E5,2,3,0
"zeropage,X",SBC,"oper,X",F5,2,4,0
absolute,SBC,oper,ED,3,4,0
"absolute,X",SBC,"oper,X",FD,3,4,1
"absolute,Y",SBC,"oper,Y",F9,3,4,1
"(indirect,X)",SBC,"(oper,X)",E1,2,6,0
"(indirect),Y",SBC,"(oper),Y",F1,2,5,1
implied,SEC,,38,1,2,0
implied,SED,,F8,1,2,0
implied,SEI,,78,1,2,0
zeropage,STA,oper,85,2,3,0
"zeropage,X",STA,"oper,X",95,2,4,0
absolute,STA,oper,8D,3,4,0
"absolute,X",STA,"oper,X",9D,3,5,0
"absolute,Y",STA,"oper,Y",99,3,5,0
"(indirect,X)",STA,"(oper,X)",81,2,6,0
"(indirect),Y",STA,"(oper),Y",91,2,6,0
zeropage,STX,oper,86,2,3,0
"zeropage,Y",STX,"oper,Y",96,2,4,0
absolute,STX,oper,8E,3,4,0
zeropage,STY,oper,84,2,3,0
"zeropage,X",STY,"oper,X",94,2,4,0
absolute,STY,oper,8C,3,4,0
implied,TAX,,AA,1,2,0
implied,TAY,,A8,1,2,0
implied,TSX,,BA,1,2,0
implied,TXA,,8A,1,2,0
implied,TXS,,9A,1,2,0
implied,TYA,,98,1,2,0
